county1,mi_to_county,county2
8045,59.25168546,8097
8045,78.23196842,8107
8045,92.71227011,49047
8045,98.89330532,49019
8047,24.22325919,8059
8047,35.05448012,8049
8049,34.77355991,8117
8049,39.28881752,8057
8049,49.33660439,8069
8049,53.0527757,8107
8051,38.84320294,8097
8051,51.74798851,8091
8051,61.55713341,8053
8051,62.91923503,8109
8051,66.43800709,8085
8051,78.28644965,8077
8053,15.80285482,8111
8053,27.02015194,8079
8053,31.38883753,8091
8053,44.01009558,8067
8053,63.83131535,8109
8055,42.06132602,8101
8055,56.30121799,8071
8055,74.15293948,8109
8057,36.61366493,8107
8057,44.39798374,8069
8057,76.10363356,56001
8057,78.42874079,56007
8059,40.98297248,8093
8059,49.48001164,8119
8061,35.70536537,8099
8061,51.81890944,20071
8061,58.22985629,8073
8061,62.96454659,8089
8063,47.30790118,20181
8063,48.98884728,8125
8063,51.70645116,20199
8063,53.03290474,8073
8063,55.8720536,8121
8063,57.39942737,20023
8065,30.32784992,8097
8065,30.93860673,8117
8065,34.37076128,8093
8067,35.35288266,8111
8067,41.69500315,8083
8067,59.92072017,35045
8069,58.09344145,8123
8069,61.0773332,56021
8069,70.37438974,56001
8071,42.87312514,8089
8071,58.83164985,35007
8071,63.69563699,8101
8071,65.42766242,35059
8073,68.99071044,8121
8073,77.77560797,8101
8075,33.83829162,31033
8075,39.70585377,8115
8075,40.13815659,8095
8075,45.91150196,31105
8075,49.53051112,8087
8075,53.06810301,8121
8075,61.33756463,8125
8075,68.83516445,8123
8077,43.22470127,8085
8077,59.7725091,49019
8077,83.98944373,8097
8077,120.3593946,49037
8079,28.62662627,8105
8079,45.80189599,8109
8081,41.55167654,8103
8081,64.33620567,8107
8081,71.54459379,49009
8081,75.76323086,49047
8081,82.79095232,56037
8081,102.3114633,56007
8083,59.03100788,35045
8083,59.21812657,8111
8083,68.33976337,49037
8085,29.3074021,8113
8085,32.45262404,8091
8085,80.59444239,49019
8085,99.41759154,49037
8087,36.48467612,8123
8087,37.65196192,8121
8089,46.28007141,8101
8091,26.07137339,8111
8091,37.20797421,8113
8093,33.41717172,8119
8093,41.31099597,8117
8095,19.13644599,8115
8095,34.454132,31029
8095,41.2498807,8125
8095,41.26738719,31135
8099,32.69533133,20075
8099,42.6446345,20187
8099,48.10814985,20071
8103,70.45974037,49047
8103,73.17675399,8107
8105,39.52069535,8109
8107,84.36729846,56007
8111,44.18948671,8113
8113,78.98644241,49037
8115,16.72266052,31049
8115,37.58062906,31135
8115,41.60763898,31033
8121,41.73364279,8125
8123,52.93395222,56021
8123,56.66042579,31105
8125,39.64800992,20023
8125,41.11129305,31057
8125,53.05406002,31029
9001,20.38946855,36119
9001,23.946708,36079
9001,25.6377402,9009
9001,36.34243727,36059
9001,39.54257459,9005
9001,40.25558755,36103
9001,41.21180328,36027
9003,20.49525862,9013
9003,23.35158475,25013
9003,25.90195645,9005
9003,27.84139696,9007
9003,32.6938118,9009
9003,39.59969825,9011
9005,26.12205198,36027
9005,35.12352967,9009
9005,38.9280772,25013
9005,40.32529298,25003
9007,20.35021835,9009
9007,22.0008486,9011
9007,35.02932513,36103
9009,30.07724664,36103
9011,24.62946291,9015
9011,25.72739406,44009
9011,28.94188192,9013
9011,30.52177924,44003
9011,47.99281212,36103
9013,18.17435304,9015
9013,24.45833374,25013
9013,37.47636095,25027
9015,21.46029768,44007
9015,23.65940095,44003
9015,33.72664641,25027
10001,23.5463429,24011
10001,25.92582175,34011
10001,30.35715419,10005
10001,31.32540402,24035
10001,33.84635519,34033
10001,33.93271491,10003
10001,34.69512667,24029
10001,35.14736269,34009
10003,15.27342464,34033
10003,15.87028086,24015
10003,26.91092125,42045
10003,28.06846546,42029
10003,28.44777528,34015
10003,34.61405747,24029
10005,26.76530565,24045
10005,29.89867031,24011
10005,31.49394361,24047
10005,38.54118599,34009
10005,42.12055257,24019
11001,4.837094591,51013
11001,6.881281166,51510
11001,10.61660785,24033
11001,14.75886127,51059
11001,18.95636677,24031
12001,21.9413919,12007
12001,26.16099142,12125
12001,26.52784789,12041
12001,37.26131475,12075
12001,37.32388476,12107
12001,37.74940322,12083
12001,40.91842392,12023
12003,19.06133168,12125
12003,20.42835345,12023
12003,27.31084808,12007
12003,32.92368787,13049
12003,35.31646692,12019
12003,37.44802005,12089
12003,39.01966419,12031
12003,47.39732771,13065
12003,50.68954033,13299
12005,25.26469037,12133
12005,27.88479489,12013
12005,31.98581839,12045
12005,42.36620162,12131
12005,45.53377676,12063
12007,14.08546504,12125
12007,18.68202427,12019
12007,34.74552644,12107
12009,31.43064953,12097
12009,37.67889306,12117
12009,40.69641746,12095
12009,41.99742857,12061
12009,59.45555373,12127
12011,31.29490264,12099
12011,40.30724779,12086
12011,48.13129662,12051
12011,57.55100895,12021
12013,21.56787701,12077
12013,27.57893216,12063
12013,33.45532793,12045
12013,37.24041135,12039
12015,22.08598939,12071
12015,23.72455897,12027
12015,34.05189386,12115
12015,46.59073487,12043
12015,49.32738451,12055
12015,53.77343427,12051
12017,19.3936129,12053
12017,28.68398957,12119
12017,34.22836818,12075
12017,38.24685415,12083
12019,27.12930958,12031
12019,27.25448259,12107
12019,29.16663147,12109
12021,32.90840572,12051
12021,37.74868263,12087
12021,42.69145095,12071
12021,66.15690968,12086
12023,19.17170818,12125
12023,22.18220324,12121
12023,27.01354211,12047
12023,35.91710097,12041
12023,35.97281051,13101
12023,48.34484542,13065
12027,20.9056604,12049
12027,30.44847393,12055
12027,34.39433896,12115
12027,39.78851982,12081
12027,41.21871268,12043
12029,25.95173014,12041
12029,28.28939926,12067
12029,32.16926262,12075
12029,39.29482095,12123
12031,19.95409154,12089
12031,34.54298616,12109
12033,20.32291784,12113
12035,28.78529388,12107
12035,29.31282783,12109
12035,29.79237183,12127
12037,28.2148203,12045
12037,31.34560406,12077
12037,34.12648527,12129
12039,20.74910115,13087
12039,21.58997146,12073
12039,26.81520776,12077
12039,28.80260047,13253
12039,29.96615445,13131
12039,38.3235681,12063
12041,29.4151562,12067
12041,30.34421816,12075
12041,34.27452287,12121
12043,28.34016557,12055
12043,28.80811188,12051
12043,35.12531204,12093
12043,49.54769265,12085
12043,50.50519675,12099
12043,51.44785266,12071
12045,33.63736088,12077
12047,16.50241009,13101
12047,21.00415916,12121
12047,30.28654968,13185
12047,31.0785924,12079
12047,44.69622817,13027
12049,31.25359076,12055
12049,32.7626243,12105
12049,33.36562766,12081
12049,43.13318363,12057
12051,44.04679687,12099
12051,45.78853106,12071
12051,59.61150109,12085
12051,60.69177483,12093
12053,18.37940057,12101
12053,25.72785913,12119
12055,27.98756289,12093
12055,47.35996894,12105
12055,51.01177729,12097
12057,23.81136666,12103
12057,28.07720798,12101
12057,29.39548791,12081
12057,40.22234609,12105
12059,20.30429537,12133
12059,27.01769796,12131
12059,36.16049223,12063
12061,23.52171509,12111
12061,28.99202666,12093
12061,42.44756633,12097
12063,22.69825087,13253
12063,29.78194747,12133
12063,41.76749366,12077
12065,23.17415049,12073
12065,25.09434881,12079
12065,30.45362175,13275
12065,32.58292771,12123
12065,33.48520005,13027
12065,34.93458726,12129
12067,17.68353519,12121
12067,26.26763856,12123
12067,36.07639213,12079
12069,22.22516176,12119
12069,29.22329644,12095
12069,35.5301943,12117
12069,36.31143337,12083
12069,38.98346611,12127
12069,56.04709498,12105
12069,59.88096835,12097
12073,22.78827819,12129
12073,28.84783297,13131
12073,35.17067002,13275
12073,37.82161524,12077
12075,44.99034653,12083
12077,30.60066575,12129
12079,27.61641453,13027
12079,29.26426399,13185
12079,30.98067507,12123
12079,33.60731313,12121
12081,20.52075206,12115
12081,52.50513123,12105
12083,33.27145764,12107
12083,33.80691073,12119
12083,54.12686767,12127
12085,20.96901806,12111
12085,30.16050437,12099
12085,36.73004614,12093
12086,44.10185283,12087
12089,22.76355016,13039
12089,25.30137873,13049
12091,24.93684129,12131
12091,25.09584961,12113
12093,27.24357036,12111
